Current Pose: X: -0.332153, Y: -0.396239, Z: 0.911295, Yaw: 1.46544, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.498229, Y: 0.594358, Z: -1.36694, Velocity_in: X: -0.000941476, Y: -0.00165137, Z: 0.00771223, Error: X: 0.332153, Y: 0.396239, Z: -0.911295, 
Current Pose: X: -0.33227, Y: -0.396275, Z: 0.911519, Yaw: 1.46545, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.498405, Y: 0.594413, Z: -1.36728, Velocity_in: X: -0.000920549, Y: -0.00153453, Z: 0.00761211, Error: X: 0.33227, Y: 0.396275, Z: -0.911519, 
Current Pose: X: -0.332363, Y: -0.396305, Z: 0.911692, Yaw: 1.46547, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.498545, Y: 0.594457, Z: -1.36754, Velocity_in: X: -0.00126709, Y: -0.00142111, Z: 0.00784559, Error: X: 0.332363, Y: 0.396305, Z: -0.911692, 
Current Pose: X: -0.332489, Y: -0.396359, Z: 0.912237, Yaw: 1.46542, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.498733, Y: 0.594539, Z: -1.36836, Velocity_in: X: -0.00113715, Y: -0.00127256, Z: 0.00813821, Error: X: 0.332489, Y: 0.396359, Z: -0.912237, 
Current Pose: X: -0.332622, Y: -0.396397, Z: 0.912721, Yaw: 1.46546, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.498933, Y: 0.594596, Z: -1.36908, Velocity_in: X: -0.00151496, Y: -0.000660933, Z: 0.00801542, Error: X: 0.332622, Y: 0.396397, Z: -0.912721, 
Current Pose: X: -0.332756, Y: -0.396437, Z: 0.913292, Yaw: 1.46546, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.499134, Y: 0.594656, Z: -1.36994, Velocity_in: X: -0.00126715, Y: -0.000533233, Z: 0.00836997, Error: X: 0.332756, Y: 0.396437, Z: -0.913292, 
Current Pose: X: -0.33286, Y: -0.396469, Z: 0.913835, Yaw: 1.46552, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.49929, Y: 0.594703, Z: -1.37075, Velocity_in: X: -0.00111781, Y: 8.85029e-05, Z: 0.00827223, Error: X: 0.33286, Y: 0.396469, Z: -0.913835, 
Current Pose: X: -0.333, Y: -0.396508, Z: 0.914494, Yaw: 1.46552, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.4995, Y: 0.594761, Z: -1.37174, Velocity_in: X: -0.00112333, Y: 0.000135901, Z: 0.00831553, Error: X: 0.333, Y: 0.396508, Z: -0.914494, 
Current Pose: X: -0.333174, Y: -0.396537, Z: 0.915099, Yaw: 1.46552, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.49976, Y: 0.594805, Z: -1.37265, Velocity_in: X: -0.00089062, Y: 0.000462257, Z: 0.00805263, Error: X: 0.333174, Y: 0.396537, Z: -0.915099, 
Current Pose: X: -0.333338, Y: -0.396554, Z: 0.915603, Yaw: 1.46556, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.500007, Y: 0.594831, Z: -1.3734, Velocity_in: X: -0.000788236, Y: 0.000245304, Z: 0.00823823, Error: X: 0.333338, Y: 0.396554, Z: -0.915603, 
