Current Pose: X: 0.00192967, Y: -0.00779504, Z: -3.45895, Yaw: 1.87942, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00192967, Y: 0.00779504, Z: 3.45895, Velocity_in: X: -0.0051247, Y: 0.000373347, Z: -0.00370632, Error: X: -0.00192967, Y: 0.00779504, Z: 3.45895, 
Current Pose: X: 0.00191987, Y: -0.00784932, Z: -3.45934, Yaw: 1.87941, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00191987, Y: 0.00784932, Z: 3.45934, Velocity_in: X: -0.00540781, Y: 0.000660495, Z: -0.00350669, Error: X: -0.00191987, Y: 0.00784932, Z: 3.45934, 
Current Pose: X: 0.0019055, Y: -0.00786511, Z: -3.45952, Yaw: 1.87939, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0019055, Y: 0.00786511, Z: 3.45952, Velocity_in: X: -0.00588784, Y: 0.000496461, Z: -0.00353354, Error: X: -0.0019055, Y: 0.00786511, Z: 3.45952, 
Current Pose: X: 0.00189655, Y: -0.00791427, Z: -3.45977, Yaw: 1.87943, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00189655, Y: 0.00791427, Z: 3.45977, Velocity_in: X: -0.0059257, Y: 0.000644075, Z: -0.00308068, Error: X: -0.00189655, Y: 0.00791427, Z: 3.45977, 
Current Pose: X: 0.00189487, Y: -0.00797771, Z: -3.46006, Yaw: 1.87944, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00189487, Y: 0.00797771, Z: 3.46006, Velocity_in: X: -0.00613946, Y: 0.000427569, Z: -0.00350178, Error: X: -0.00189487, Y: 0.00797771, Z: 3.46006, 
Current Pose: X: 0.00189958, Y: -0.00807767, Z: -3.46034, Yaw: 1.87944, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00189958, Y: 0.00807767, Z: 3.46034, Velocity_in: X: -0.0064589, Y: 0.000619175, Z: -0.00380597, Error: X: -0.00189958, Y: 0.00807767, Z: 3.46034, 
Current Pose: X: 0.00191822, Y: -0.00818217, Z: -3.46063, Yaw: 1.87943, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00191822, Y: 0.00818217, Z: 3.46063, Velocity_in: X: -0.00681436, Y: 0.00062969, Z: -0.0036989, Error: X: -0.00191822, Y: 0.00818217, Z: 3.46063, 
Current Pose: X: 0.00193495, Y: -0.00824608, Z: -3.46088, Yaw: 1.87946, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00193495, Y: 0.00824608, Z: 3.46088, Velocity_in: X: -0.0069005, Y: 0.000211441, Z: -0.00406354, Error: X: -0.00193495, Y: 0.00824608, Z: 3.46088, 
Current Pose: X: 0.00194322, Y: -0.00823807, Z: -3.46131, Yaw: 1.87944, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00194322, Y: 0.00823807, Z: 3.46131, Velocity_in: X: -0.00710013, Y: 0.000153661, Z: -0.00417519, Error: X: -0.00194322, Y: 0.00823807, Z: 3.46131, 
Current Pose: X: 0.00195768, Y: -0.00826119, Z: -3.46174, Yaw: 1.87943, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00195768, Y: 0.00826119, Z: 3.46174, Velocity_in: X: -0.00716726, Y: 0.000212609, Z: -0.00406721, Error: X: -0.00195768, Y: 0.00826119, Z: 3.46174, 
