Current Pose: X: -0.736825, Y: 0.791459, Z: -1.32283, Yaw: 1.76969, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736825, Y: -0.791459, Z: 1.32283, Velocity_in: X: -0.000361272, Y: 0.000542031, Z: 0.00386781, Error: X: 0.736825, Y: -0.791459, Z: 1.32283, 
Current Pose: X: -0.736836, Y: 0.791421, Z: -1.32276, Yaw: 1.76967, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736836, Y: -0.791421, Z: 1.32276, Velocity_in: X: -0.00058035, Y: 0.000590824, Z: 0.00394113, Error: X: 0.736836, Y: -0.791421, Z: 1.32276, 
Current Pose: X: -0.736863, Y: 0.791375, Z: -1.32273, Yaw: 1.76964, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736863, Y: -0.791375, Z: 1.32273, Velocity_in: X: -0.000505461, Y: 0.00041219, Z: 0.00415742, Error: X: 0.736863, Y: -0.791375, Z: 1.32273, 
Current Pose: X: -0.736899, Y: 0.791341, Z: -1.32278, Yaw: 1.76959, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736899, Y: -0.791341, Z: 1.32278, Velocity_in: X: -0.000531685, Y: 0.000498126, Z: 0.00404909, Error: X: 0.736899, Y: -0.791341, Z: 1.32278, 
Current Pose: X: -0.736928, Y: 0.7913, Z: -1.32284, Yaw: 1.76954, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736928, Y: -0.7913, Z: 1.32284, Velocity_in: X: -0.000180932, Y: 0.000238761, Z: 0.00426058, Error: X: 0.736928, Y: -0.7913, Z: 1.32284, 
Current Pose: X: -0.736946, Y: 0.791259, Z: -1.32281, Yaw: 1.76961, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736946, Y: -0.791259, Z: 1.32281, Velocity_in: X: -0.00062602, Y: 0.000471536, Z: 0.00394795, Error: X: 0.736946, Y: -0.791259, Z: 1.32281, 
Current Pose: X: -0.736985, Y: 0.791205, Z: -1.32278, Yaw: 1.76961, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736985, Y: -0.791205, Z: 1.32278, Velocity_in: X: -0.000631106, Y: 0.000474658, Z: 0.00364709, Error: X: 0.736985, Y: -0.791205, Z: 1.32278, 
Current Pose: X: -0.737021, Y: 0.79115, Z: -1.32275, Yaw: 1.76959, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.737021, Y: -0.79115, Z: 1.32275, Velocity_in: X: -0.000716023, Y: 0.000782388, Z: 0.00364857, Error: X: 0.737021, Y: -0.79115, Z: 1.32275, 
Current Pose: X: -0.737044, Y: 0.7911, Z: -1.32266, Yaw: 1.76959, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.737044, Y: -0.7911, Z: 1.32266, Velocity_in: X: -0.000633596, Y: 0.000812062, Z: 0.00393261, Error: X: 0.737044, Y: -0.7911, Z: 1.32266, 
Current Pose: X: -0.737059, Y: 0.791063, Z: -1.32261, Yaw: 1.76962, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.737059, Y: -0.791063, Z: 1.32261, Velocity_in: X: -0.000617432, Y: 0.000785879, Z: 0.00377817, Error: X: 0.737059, Y: -0.791063, Z: 1.32261, 
