Current Pose: X: -0.0325912, Y: -0.102895, Z: -4.22207, Yaw: 1.75555, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0325912, Y: 0.102895, Z: 4.22207, Velocity_in: X: -0.00238639, Y: -0.000202724, Z: 0.00159369, Error: X: 0.0325912, Y: 0.102895, Z: 4.22207, 
Current Pose: X: -0.0326058, Y: -0.10293, Z: -4.22239, Yaw: 1.75554, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0326058, Y: 0.10293, Z: 4.22239, Velocity_in: X: -0.00246477, Y: -0.000485733, Z: 0.00146484, Error: X: 0.0326058, Y: 0.10293, Z: 4.22239, 
Current Pose: X: -0.0326266, Y: -0.102954, Z: -4.22273, Yaw: 1.75555, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0326266, Y: 0.102954, Z: 4.22273, Velocity_in: X: -0.00189833, Y: -0.000337939, Z: 0.00160765, Error: X: 0.0326266, Y: 0.102954, Z: 4.22273, 
Current Pose: X: -0.0326446, Y: -0.102981, Z: -4.22328, Yaw: 1.75559, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0326446, Y: 0.102981, Z: 4.22328, Velocity_in: X: -0.00196779, Y: -0.000156796, Z: 0.00179201, Error: X: 0.0326446, Y: 0.102981, Z: 4.22328, 
Current Pose: X: -0.032666, Y: -0.103003, Z: -4.22398, Yaw: 1.7556, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.032666, Y: 0.103003, Z: 4.22398, Velocity_in: X: -0.00214019, Y: -6.49246e-05, Z: 0.00163146, Error: X: 0.032666, Y: 0.103003, Z: 4.22398, 
Current Pose: X: -0.0326776, Y: -0.103019, Z: -4.22462, Yaw: 1.75561, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0326776, Y: 0.103019, Z: 4.22462, Velocity_in: X: -0.00165949, Y: 0.000130147, Z: 0.00156089, Error: X: 0.0326776, Y: 0.103019, Z: 4.22462, 
Current Pose: X: -0.0326795, Y: -0.103029, Z: -4.22502, Yaw: 1.75575, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0326795, Y: 0.103029, Z: 4.22502, Velocity_in: X: -0.00153177, Y: -0.000175347, Z: 0.00174754, Error: X: 0.0326795, Y: 0.103029, Z: 4.22502, 
Current Pose: X: -0.0326999, Y: -0.103052, Z: -4.22548, Yaw: 1.75578, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0326999, Y: 0.103052, Z: 4.22548, Velocity_in: X: -0.0012808, Y: -0.000357831, Z: 0.00180245, Error: X: 0.0326999, Y: 0.103052, Z: 4.22548, 
Current Pose: X: -0.0327214, Y: -0.103084, Z: -4.22602, Yaw: 1.75579, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0327214, Y: 0.103084, Z: 4.22602, Velocity_in: X: -0.00143508, Y: -0.000410504, Z: 0.00134454, Error: X: 0.0327214, Y: 0.103084, Z: 4.22602, 
Current Pose: X: -0.032742, Y: -0.103131, Z: -4.22658, Yaw: 1.75586, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.032742, Y: 0.103131, Z: 4.22658, Velocity_in: X: -0.00139071, Y: -0.00014793, Z: 0.00120657, Error: X: 0.032742, Y: 0.103131, Z: 4.22658, 
Current Pose: X: -0.0327627, Y: -0.103144, Z: -4.22702, Yaw: 1.75593, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0327627, Y: 0.103144, Z: 4.22702, Velocity_in: X: -0.001323, Y: -0.000163567, Z: 0.000687017, Error: X: 0.0327627, Y: 0.103144, Z: 4.22702, 
Current Pose: X: -0.0327916, Y: -0.103159, Z: -4.22758, Yaw: 1.75594, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0327916, Y: 0.103159, Z: 4.22758, Velocity_in: X: -0.00089078, Y: -0.000260687, Z: 0.000870369, Error: X: 0.0327916, Y: 0.103159, Z: 4.22758, 
Current Pose: X: -0.0328091, Y: -0.103158, Z: -4.22806, Yaw: 1.75603, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0328091, Y: 0.103158, Z: 4.22806, Velocity_in: X: -0.000977689, Y: -0.000313248, Z: 0.00119796, Error: X: 0.0328091, Y: 0.103158, Z: 4.22806, 
